iso3c,Country,Year,Sex,Age_Int,Age_Lower,Deaths,Population,mr,mra,source,Age_Int_cut,Sex_name,asmr
AUT,Austria,2020,b,All ages,NA,10143.10000000002,9006400,112.62102504885436,112.62102504885436,Excess deaths,NA,Both sexes,90.42764682307582
AUT,Austria,2020,f,All ages,NA,4668.400000000009,4566709,102.22678957647639,102.22678957647639,Excess deaths,NA,Females,78.33052524630206
AUT,Austria,2020,m,All ages,NA,5474.699999999997,4439691,123.31263594696112,123.31263594696112,Excess deaths,NA,Males,103.6421155306182
AUT,Austria,2021,b,All ages,NA,8435.800000000017,9006400,93.6645052407179,93.6645052407179,Excess deaths,NA,Both sexes,79.13078763654697
AUT,Austria,2021,f,All ages,NA,3466.2000000000044,4566709,75.90148616870495,75.90148616870495,Excess deaths,NA,Females,60.62788156209445
AUT,Austria,2021,m,All ages,NA,4969.5999999999985,4439691,111.93571804884616,111.93571804884616,Excess deaths,NA,Males,98.24368049037643
BEL,Belgium,2020,b,All ages,NA,20377.90000000001,11589616,175.8289489487832,175.8289489487832,Excess deaths,NA,Both sexes,137.41929226115775
BEL,Belgium,2020,f,All ages,NA,10410.100000000006,5845281,178.09408991629326,178.09408991629326,Excess deaths,NA,Females,130.63477304041612
BEL,Belgium,2020,m,All ages,NA,9967.800000000003,5744335,173.52400234317815,173.52400234317815,Excess deaths,NA,Males,144.6606571102565
BEL,Belgium,2021,b,All ages,NA,4583.600000000006,11589616,39.549196453100826,39.549196453100826,Excess deaths,NA,Both sexes,36.79959329674678
BEL,Belgium,2021,f,All ages,NA,662.6000000000058,5845281,11.335639809275307,11.335639809275307,Excess deaths,NA,Females,13.855100325708225
BEL,Belgium,2021,m,All ages,NA,3921,5744335,68.25855386219641,68.25855386219641,Excess deaths,NA,Males,60.627613589707124
BGR,Bulgaria,2020,b,All ages,NA,19993.300000000017,6948445,287.7377600312015,287.7377600312015,Excess deaths,NA,Both sexes,239.58727865308904
BGR,Bulgaria,2020,f,All ages,NA,8344.400000000001,3574324,233.453934226444,233.453934226444,Excess deaths,NA,Females,185.46062281292174
BGR,Bulgaria,2020,m,All ages,NA,11648.900000000001,3374121,345.2425090860702,345.2425090860702,Excess deaths,NA,Males,308.5544666606095
BGR,Bulgaria,2021,b,All ages,NA,42513,6948445,611.8347342462954,611.8347342462954,Excess deaths,NA,Both sexes,505.6608122490463
BGR,Bulgaria,2021,f,All ages,NA,20497.6,3574324,573.467878121849,573.467878121849,Excess deaths,NA,Females,451.8639818387697
BGR,Bulgaria,2021,m,All ages,NA,22015.4,3374121,652.4780824398414,652.4780824398414,Excess deaths,NA,Males,579.1493506450684
BRA,Brazil,2020,b,All ages,NA,168005,212559409,79.03907937568644,79.03907937568644,Excess deaths,NA,Both sexes,120.89296948260723
BRA,Brazil,2020,f,All ages,NA,61300.27929845324,108123626,56.694620376913036,56.694620376913036,Excess deaths,NA,Females,84.78069684912519
BRA,Brazil,2020,m,All ages,NA,106704.72070154687,104435783,102.17256732929064,102.17256732929064,Excess deaths,NA,Males,162.1478065954009
CHE,Switzerland,2020,b,All ages,NA,10384,8654618,119.98218754426827,119.98218754426827,Excess deaths,NA,Both sexes,94.37052124549916
CHE,Switzerland,2020,f,All ages,NA,4610.800000000003,4360970,105.72877135132786,105.72877135132786,Excess deaths,NA,Females,80.35239593230949
CHE,Switzerland,2020,m,All ages,NA,5773.200000000004,4293648,134.45908933382532,134.45908933382532,Excess deaths,NA,Males,108.71567977940798
CHE,Switzerland,2021,b,All ages,NA,3351.600000000006,8654618,38.72614597201177,38.72614597201177,Excess deaths,NA,Both sexes,31.629009745128577
CHE,Switzerland,2021,f,All ages,NA,1141.4000000000087,4360970,26.173076173420334,26.173076173420334,Excess deaths,NA,Females,19.861817057674482
CHE,Switzerland,2021,m,All ages,NA,2210.2000000000044,4293648,51.47604088644445,51.47604088644445,Excess deaths,NA,Males,43.31959586133126
CHL,Chile,2020,b,All ages,NA,16568.5,19116209,86.67251964026968,86.67251964026968,Excess deaths,NA,Both sexes,112.12610849950156
CHL,Chile,2020,f,All ages,NA,6475,9690540,66.8177418389481,66.8177418389481,Excess deaths,NA,Females,85.38470011281315
CHL,Chile,2020,m,All ages,NA,10093.5,9425669,107.0852371327701,107.0852371327701,Excess deaths,NA,Males,142.32310555564177
CHL,Chile,2021,b,All ages,NA,24362.300000000003,19116209,127.44315570100747,127.44315570100747,Excess deaths,NA,Both sexes,163.16336153080812
CHL,Chile,2021,f,All ages,NA,10405.800000000003,9690540,107.38101282281485,107.38101282281485,Excess deaths,NA,Females,136.90585521495146
CHL,Chile,2021,m,All ages,NA,13956.5,9425669,148.06906544246357,148.06906544246357,Excess deaths,NA,Males,192.57919304830904
COL,Colombia,2020,b,All ages,NA,52000.00000000003,50882884,102.19546517842822,102.19546517842822,Excess deaths,NA,Both sexes,177.20699067940998
COL,Colombia,2020,f,All ages,NA,17459.56142804782,25898320,67.41580700233767,67.41580700233767,Excess deaths,NA,Females,116.96699718851212
COL,Colombia,2020,m,All ages,NA,34540.438571952225,24984564,138.2471135856212,138.2471135856212,Excess deaths,NA,Males,239.8467959698326
CZE,Czech Republic,2020,b,All ages,NA,19379.900000000023,10708982,180.9686485606197,180.9686485606197,Excess deaths,NA,Both sexes,160.74215521871932
CZE,Czech Republic,2020,f,All ages,NA,8885.900000000009,5436460,163.45011275719878,163.45011275719878,Excess deaths,NA,Females,138.08783108134554
CZE,Czech Republic,2020,m,All ages,NA,10494.000000000007,5272522,199.03188644826912,199.03188644826912,Excess deaths,NA,Males,189.84136867319168
CZE,Czech Republic,2021,b,All ages,NA,23608.000000000015,10708982,220.4504592500017,220.4504592500017,Excess deaths,NA,Both sexes,189.78649060886178
CZE,Czech Republic,2021,f,All ages,NA,9718.80000000001,5436460,178.77074419751108,178.77074419751108,Excess deaths,NA,Females,145.52381360486837
CZE,Czech Republic,2021,m,All ages,NA,13889.200000000004,5272522,263.42611752023043,263.42611752023043,Excess deaths,NA,Males,241.69685166535868
DEU,Germany,2020,b,All ages,NA,56859.80000000016,83783945,67.86479199565044,67.86479199565044,Excess deaths,NA,Both sexes,49.29787002546611
DEU,Germany,2020,f,All ages,NA,26129.00000000006,42368034,61.67149507102467,61.67149507102467,Excess deaths,NA,Females,41.74534705527253
DEU,Germany,2020,m,All ages,NA,30730.79999999999,41415911,74.20046851076145,74.20046851076145,Excess deaths,NA,Males,57.350189469584144
DEU,Germany,2021,b,All ages,NA,67405.40000000014,83783945,80.45145164744885,80.45145164744885,Excess deaths,NA,Both sexes,64.41191690041148
DEU,Germany,2021,f,All ages,NA,29291.40000000008,42368034,69.135612948196,69.135612948196,Excess deaths,NA,Females,51.24319692553284
DEU,Germany,2021,m,All ages,NA,38114,41415911,92.0274336112032,92.0274336112032,Excess deaths,NA,Males,78.0984883587646
DNK,Denmark,2020,b,All ages,NA,907.5,5792203,15.667613859528059,15.667613859528059,Excess deaths,NA,Both sexes,13.235759641483119
DNK,Denmark,2020,f,All ages,NA,393.40000000000146,2912842,13.50571023076437,13.50571023076437,Excess deaths,NA,Females,11.404550012751146
DNK,Denmark,2020,m,All ages,NA,514.1000000000022,2879361,17.85465594623259,17.85465594623259,Excess deaths,NA,Males,15.575774621520019
DNK,Denmark,2021,b,All ages,NA,2126,5792203,36.70451467256932,36.70451467256932,Excess deaths,NA,Both sexes,31.058369838383594
DNK,Denmark,2021,f,All ages,NA,1221.2000000000007,2912842,41.9246907315948,41.9246907315948,Excess deaths,NA,Females,36.08322654838917
DNK,Denmark,2021,m,All ages,NA,904.7999999999993,2879361,31.4236387865224,31.4236387865224,Excess deaths,NA,Males,26.194692191079106
ECU,Ecuador,2020,b,All ages,NA,38931.8,17643060,220.66353569052083,220.66353569052083,Excess deaths,NA,Both sexes,435.5972200917666
ECU,Ecuador,2020,f,All ages,NA,13285.200000000004,8819233,150.63895012185304,150.63895012185304,Excess deaths,NA,Females,303.97551163774443
ECU,Ecuador,2020,m,All ages,NA,25646.6,8823827,290.65166395488035,290.65166395488035,Excess deaths,NA,Males,564.0442361315735
ESP,Spain,2020,b,All ages,NA,82408.20000000001,46754783,176.2561917996711,176.2561917996711,Excess deaths,NA,Both sexes,124.72983518666717
ESP,Spain,2020,f,All ages,NA,41181.600000000035,23776445,173.20335315056576,173.20335315056576,Excess deaths,NA,Females,114.79198770926024
ESP,Spain,2020,m,All ages,NA,41226.600000000006,22978338,179.4150647448915,179.4150647448915,Excess deaths,NA,Males,135.70258123529746
ESP,Spain,2021,b,All ages,NA,38319,46754783,81.95739032731689,81.95739032731689,Excess deaths,NA,Both sexes,64.56002197942664
ESP,Spain,2021,f,All ages,NA,15466.800000000017,23776445,65.05093591577722,65.05093591577722,Excess deaths,NA,Females,49.02302849641288
ESP,Spain,2021,m,All ages,NA,22852.20000000001,22978338,99.45105690411556,99.45105690411556,Excess deaths,NA,Males,81.00835929968395
EST,Estonia,2020,b,All ages,NA,578.0000000000018,1326539,43.572032182996644,43.572032182996644,Excess deaths,NA,Both sexes,40.15858882670148
EST,Estonia,2020,f,All ages,NA,276.10000000000036,698083,39.55117084931167,39.55117084931167,Excess deaths,NA,Females,33.89957997645728
